1	(22,47,8)	(20,42,9)	(18,35,13)	(25,36,22)	(27,40,22)	(23,35,16)	(22,33,19)	(20,32,19)	(23,31,23)	(19,28,18)	(15,26,13)	(13,24,9)	(12,19,8)	(17,19,12)	(35,31,28)	(47,42,41)	(52,50,47)	(60,60,60)	(77,78,82)	(85,85,91)	(82,82,83)	(87,88,90)	(85,86,89)	(85,90,94)	(87,93,97)	(98,101,104)	(93,95,98)	(77,80,84)	(69,71,74)	(87,86,89)	(106,109,114)	(103,116,126)	(97,112,118)	(131,148,158)	(155,173,182)	(161,177,184)	(147,161,169)	(115,129,137)	(92,103,109)	(88,100,105)	(88,98,101)	(92,99,103)	(98,107,114)	(106,117,125)	(114,125,134)	(120,133,144)	(128,142,154)	(132,147,160)	(131,148,161)	(127,143,158)	(111,125,139)	(102,113,125)	(107,119,132)	(82,124,228)	(80,130,250)	
2	(18,41,8)	(19,44,9)	(19,40,14)	(26,39,24)	(25,42,22)	(25,38,20)	(27,36,26)	(24,34,23)	(26,34,27)	(20,33,20)	(14,32,15)	(12,30,12)	(10,23,7)	(12,16,9)	(23,21,15)	(40,34,32)	(52,47,46)	(55,54,53)	(71,72,74)	(81,81,84)	(79,80,84)	(83,85,89)	(81,83,87)	(88,91,96)	(87,88,91)	(80,81,81)	(84,85,88)	(81,85,90)	(75,77,84)	(90,85,91)	(109,107,113)	(103,114,125)	(90,99,105)	(128,137,141)	(160,174,178)	(181,194,197)	(178,188,190)	(141,152,156)	(98,113,119)	(90,102,108)	(92,103,109)	(95,103,107)	(96,104,109)	(98,104,109)	(102,108,114)	(110,119,128)	(117,129,140)	(124,136,149)	(126,139,153)	(128,142,156)	(124,137,152)	(114,126,139)	(113,132,167)	(56,99,233)	(73,125,250)	
3	(16,37,9)	(17,39,10)	(17,39,16)	(23,41,23)	(24,43,19)	(26,42,19)	(32,41,29)	(31,37,30)	(28,36,31)	(19,34,20)	(16,38,20)	(16,38,21)	(11,27,12)	(10,19,11)	(19,19,14)	(37,31,26)	(49,44,42)	(47,45,43)	(48,49,47)	(64,65,64)	(71,73,75)	(69,73,77)	(73,74,77)	(91,95,99)	(89,92,96)	(73,74,76)	(79,83,86)	(90,95,101)	(83,86,92)	(92,85,90)	(107,104,110)	(101,112,123)	(99,104,108)	(148,150,146)	(176,182,178)	(195,204,204)	(194,202,202)	(161,170,172)	(127,139,143)	(99,111,117)	(97,108,116)	(101,110,116)	(101,109,113)	(101,107,112)	(103,111,115)	(105,114,119)	(106,116,121)	(107,115,124)	(108,117,126)	(114,122,132)	(113,123,133)	(108,114,122)	(104,133,188)	(49,91,226)	(71,120,249)	
4	(16,38,13)	(15,37,12)	(15,36,17)	(20,42,20)	(25,45,18)	(27,42,18)	(30,42,26)	(33,43,36)	(25,40,29)	(17,33,18)	(15,36,18)	(15,37,22)	(14,34,21)	(14,27,18)	(25,26,20)	(40,36,32)	(60,56,56)	(63,61,61)	(61,60,60)	(61,61,61)	(70,71,74)	(63,65,67)	(68,71,75)	(87,89,95)	(82,84,88)	(72,74,75)	(84,86,92)	(91,95,100)	(86,89,93)	(88,84,89)	(98,95,104)	(98,108,120)	(100,105,109)	(176,172,166)	(202,202,193)	(207,211,209)	(203,210,209)	(180,189,186)	(165,171,171)	(131,141,143)	(103,113,122)	(105,116,122)	(108,118,125)	(109,118,125)	(106,114,119)	(99,104,106)	(95,97,99)	(92,94,95)	(91,93,95)	(96,99,104)	(107,110,115)	(110,109,113)	(101,130,191)	(60,106,235)	(64,114,249)	
5	(16,38,12)	(14,33,10)	(13,32,10)	(17,39,14)	(25,45,18)	(30,43,19)	(31,45,28)	(28,50,40)	(20,48,25)	(17,39,13)	(15,35,16)	(15,35,22)	(22,43,33)	(27,42,34)	(40,42,36)	(75,74,74)	(105,105,103)	(100,100,99)	(93,94,93)	(82,82,82)	(75,77,80)	(59,62,64)	(64,65,69)	(77,80,84)	(77,79,83)	(83,84,88)	(87,91,97)	(91,97,104)	(91,95,100)	(88,87,93)	(82,82,90)	(81,89,100)	(86,92,95)	(185,181,171)	(219,215,203)	(213,215,209)	(208,213,212)	(192,200,197)	(187,192,189)	(163,168,167)	(112,123,128)	(100,108,113)	(104,110,112)	(107,109,111)	(104,103,102)	(96,90,84)	(91,83,77)	(92,85,81)	(89,84,83)	(82,78,76)	(96,93,93)	(110,106,109)	(93,126,211)	(66,114,243)	(54,103,244)	
6	(14,35,11)	(13,32,9)	(12,28,6)	(14,32,8)	(21,40,14)	(28,45,18)	(30,50,26)	(29,59,38)	(25,55,25)	(28,53,25)	(45,62,46)	(44,60,52)	(76,84,78)	(85,91,88)	(89,91,88)	(117,117,118)	(109,108,106)	(120,121,121)	(94,96,97)	(91,92,94)	(83,85,87)	(67,67,69)	(64,65,67)	(76,78,80)	(85,88,92)	(94,98,103)	(95,97,102)	(93,94,100)	(90,93,96)	(92,89,94)	(71,68,73)	(49,56,61)	(62,65,71)	(164,160,152)	(220,213,201)	(213,210,201)	(198,205,203)	(195,202,201)	(189,195,191)	(163,167,164)	(119,128,131)	(94,99,100)	(95,95,94)	(96,96,94)	(95,92,90)	(90,86,83)	(88,85,81)	(92,92,91)	(95,95,96)	(78,78,77)	(79,77,76)	(99,102,111)	(72,112,224)	(59,109,247)	(46,93,239)	
7	(13,32,11)	(13,31,13)	(11,27,10)	(13,29,6)	(22,42,11)	(26,46,15)	(28,56,23)	(32,62,31)	(41,65,38)	(104,109,98)	(104,108,98)	(121,124,121)	(119,119,116)	(109,111,110)	(114,114,116)	(110,110,111)	(111,110,109)	(115,115,117)	(106,107,110)	(101,98,97)	(94,89,86)	(98,96,96)	(100,96,92)	(91,85,78)	(90,82,74)	(87,76,66)	(86,78,69)	(91,85,78)	(97,94,93)	(102,94,93)	(98,83,80)	(113,98,96)	(168,122,110)	(203,151,131)	(219,182,168)	(205,187,176)	(177,182,178)	(191,200,197)	(199,204,202)	(160,168,165)	(119,128,131)	(96,103,108)	(91,96,98)	(95,99,103)	(95,100,104)	(92,97,100)	(92,96,100)	(94,100,105)	(100,108,116)	(90,96,104)	(78,83,87)	(90,105,134)	(55,97,228)	(54,101,246)	(44,88,235)	
8	(11,27,8)	(10,26,11)	(11,23,10)	(19,30,9)	(34,51,15)	(34,56,22)	(31,62,29)	(43,75,42)	(96,110,92)	(110,99,89)	(109,101,93)	(108,105,100)	(92,90,88)	(102,103,107)	(106,109,115)	(106,109,115)	(108,109,112)	(104,102,103)	(98,91,88)	(88,78,70)	(84,74,66)	(100,92,86)	(89,79,72)	(88,77,66)	(78,64,50)	(78,63,49)	(81,65,48)	(81,66,50)	(86,72,62)	(91,77,68)	(104,87,78)	(153,117,106)	(180,98,70)	(219,113,84)	(227,113,88)	(227,126,104)	(209,157,145)	(194,186,183)	(212,216,214)	(179,185,186)	(122,132,134)	(102,113,118)	(93,104,111)	(97,109,117)	(101,111,119)	(102,111,118)	(99,109,116)	(99,108,116)	(102,112,121)	(98,107,115)	(83,93,99)	(89,117,168)	(47,89,228)	(50,96,242)	(45,90,237)	
9	(11,25,6)	(10,23,8)	(12,21,10)	(24,33,13)	(40,60,19)	(43,65,26)	(38,72,35)	(85,109,83)	(130,124,110)	(88,72,62)	(99,90,83)	(83,80,77)	(95,97,99)	(107,112,119)	(111,115,122)	(113,113,113)	(93,90,87)	(87,80,80)	(90,80,77)	(94,86,84)	(103,98,97)	(103,98,96)	(97,86,79)	(93,80,70)	(85,70,58)	(76,63,51)	(75,60,48)	(77,64,52)	(71,57,45)	(69,52,39)	(86,66,52)	(116,82,65)	(137,84,61)	(180,103,82)	(213,135,121)	(220,141,126)	(225,147,130)	(227,163,153)	(222,189,188)	(204,189,191)	(144,153,159)	(111,125,131)	(97,110,115)	(96,111,120)	(105,118,127)	(109,120,127)	(107,118,125)	(101,113,121)	(102,110,118)	(101,109,116)	(92,102,111)	(89,125,203)	(44,85,229)	(52,99,244)	(45,91,238)	
10	(12,29,7)	(12,29,8)	(14,26,11)	(26,39,17)	(40,65,23)	(42,69,25)	(34,67,29)	(129,139,124)	(132,117,100)	(91,77,68)	(87,82,79)	(90,89,90)	(113,116,119)	(122,123,126)	(109,105,108)	(110,107,108)	(107,103,104)	(103,95,93)	(94,90,90)	(107,102,103)	(103,95,91)	(96,87,81)	(91,78,68)	(85,69,55)	(81,62,46)	(77,59,43)	(73,57,43)	(76,58,44)	(71,54,38)	(68,51,35)	(67,51,38)	(76,59,46)	(92,64,48)	(136,87,64)	(193,131,111)	(218,153,128)	(225,148,120)	(228,156,135)	(231,175,166)	(230,176,170)	(219,178,180)	(160,151,156)	(111,123,126)	(101,115,121)	(103,115,123)	(108,118,126)	(106,117,123)	(104,113,119)	(102,110,114)	(102,109,114)	(99,109,118)	(91,135,228)	(57,103,237)	(55,102,239)	(49,94,232)	
11	(12,28,6)	(14,32,9)	(17,32,11)	(26,42,17)	(38,65,21)	(40,71,25)	(42,73,37)	(160,162,146)	(126,107,90)	(93,83,73)	(102,102,100)	(119,121,122)	(116,116,120)	(112,110,113)	(122,118,121)	(117,111,110)	(88,81,76)	(82,76,74)	(95,88,89)	(103,91,87)	(101,84,76)	(102,87,79)	(102,84,69)	(99,78,64)	(88,69,53)	(86,66,49)	(80,61,43)	(68,49,34)	(63,45,29)	(66,49,33)	(78,58,40)	(91,69,52)	(109,89,75)	(122,95,79)	(146,105,87)	(169,107,85)	(201,122,99)	(212,132,114)	(207,124,114)	(229,187,181)	(233,194,193)	(232,198,202)	(188,169,172)	(127,135,140)	(108,120,128)	(109,120,130)	(111,124,132)	(113,124,133)	(112,119,126)	(109,116,124)	(110,133,177)	(99,149,248)	(85,132,239)	(73,114,222)	(60,99,209)	
12	(12,28,5)	(16,35,7)	(18,36,8)	(21,44,15)	(29,58,21)	(30,64,22)	(54,81,49)	(177,167,151)	(136,125,109)	(117,116,112)	(132,134,135)	(136,139,143)	(139,141,146)	(139,138,139)	(120,114,111)	(94,80,70)	(84,74,67)	(94,84,80)	(102,88,82)	(104,85,75)	(102,81,69)	(108,87,76)	(116,91,76)	(122,95,75)	(122,91,68)	(110,78,55)	(88,62,39)	(77,50,28)	(75,46,24)	(88,57,36)	(114,86,70)	(135,116,105)	(136,112,100)	(140,113,99)	(140,108,93)	(143,109,92)	(155,107,87)	(202,151,135)	(211,152,139)	(231,200,194)	(236,206,197)	(239,208,207)	(238,193,189)	(187,150,142)	(116,124,126)	(104,117,126)	(115,128,140)	(117,130,143)	(114,130,153)	(99,130,197)	(71,111,214)	(45,81,179)	(28,55,140)	(23,45,125)	(19,44,121)	
13	(18,41,6)	(17,39,8)	(19,43,10)	(19,43,12)	(22,50,19)	(29,60,24)	(123,128,106)	(149,139,126)	(148,146,139)	(135,136,132)	(140,143,144)	(147,151,155)	(146,148,151)	(129,123,122)	(104,94,88)	(98,82,73)	(99,81,68)	(96,73,55)	(94,71,50)	(101,73,50)	(121,89,68)	(150,124,107)	(157,129,111)	(154,121,96)	(150,113,86)	(136,99,72)	(123,85,59)	(119,79,53)	(146,104,81)	(176,143,130)	(194,174,169)	(206,189,186)	(210,190,187)	(211,193,191)	(211,194,194)	(209,192,192)	(200,185,185)	(195,174,172)	(213,183,175)	(214,175,166)	(226,185,167)	(233,191,179)	(238,191,180)	(213,149,131)	(125,126,124)	(106,118,124)	(111,128,143)	(104,133,192)	(63,99,196)	(29,60,145)	(17,42,113)	(9,35,103)	(10,33,103)	(6,31,103)	(9,32,106)	
